id,name,price
102,"Wine - Red, Cabernet Sauvignon",56.77
103,"Pail - 4l White, With Handle",12.63
104,Bandage - Finger Cots,70.22
105,Wine - Peller Estates Late,42.6
106,Soup - Campbells Broccoli,68.3
107,Calypso - Pineapple Passion,73.62
108,Oil - Hazelnut,5.77
109,Bread - Calabrese Baguette,55.83
110,Foam Cup 6 Oz,19.75
111,Bar - Granola Trail Mix Fruit Nut,49.01
112,Wine - Zinfandel Rosenblum,55.88
113,Cheese - Victor Et Berthold,78.61
114,Cheese - Bocconcini,93.98
115,Bay Leaf,81.14
116,"Tortillas - Flour, 12",86.59
117,Longos - Chicken Curried,77.35
118,Bread - Assorted Rolls,3.95
119,Lamb - Shoulder,51.44
120,Cheese - Grie Des Champ,58.6
121,Cilantro / Coriander - Fresh,9.59
122,Dish Towel,92.88
123,Green Tea Refresher,85.74
124,Dates,66.37
125,Cattail Hearts,29.94
126,"Wine - White, Antinore Orvieto",75.18
127,Soup - Campbells Beef Noodle,24.71
128,Bananas,64.81
129,Trueblue - Blueberry,9.26
130,Wine - Coteaux Du Tricastin Ac,95.47
131,"Yogurt - Cherry, 175 Gr",75.78
132,Eel Fresh,45.85
133,"Pork - Back, Long Cut, Boneless",36.13
134,Cleaner - Comet,80.83
135,Hagen Daza - Dk Choocolate,17.28
136,Graham Cracker Mix,32.04
137,Mousse - Passion Fruit,59.79
138,Bar - Sweet And Salty Chocolate,42.28
139,Garam Masala Powder,78.68
140,Silicone Paper 16.5x24,70.69
141,Lettuce - Lolla Rosa,64.8
142,Beef - Tenderloin - Aa,68.15
143,Yukon Jack,49.64
144,Broccoli - Fresh,74.53
145,Cookie Dough - Chunky,85.61
146,Papayas,20.99
147,Pie Shell - 5,56.84
148,"Coconut - Creamed, Pure",14.21
149,Pork - Backs - Boneless,73.12
150,Soupcontfoam16oz 116con,30.85
151,Cheese - Fontina,40.47
152,Sage - Rubbed,99.06
153,Bread - Granary Small Pull,79.54
154,Greens Mustard,18.16
155,"Brocolinni - Gaylan, Chinese",93.13
156,"Wine - Red, Marechal Foch",89.51
157,Sobe - Berry Energy,42.73
158,Bandage - Flexible Neon,22.05
159,Veal - Osso Bucco,72.66
160,Green Scrubbie Pad H.duty,78.57
161,Yams,77.07
162,Lettuce - Sea / Sea Asparagus,56.52
163,Grand Marnier,8.75
164,"Tomatoes - Cherry, Yellow",83.32
165,Napkin White,99.79
166,"Nestea - Ice Tea, Diet",19.9
167,"Rosemary - Primerba, Paste",82.19
168,Chicken - Whole,35.28
169,Glove - Cutting,89.74
170,Cabbage Roll,28.04
171,Squash - Pepper,3.9
172,"Soup - Campbells, Spinach Crm",90.37
173,Buffalo - Tenderloin,29.19
174,Sauce - Plum,12.88
175,"Juice - Orange, Concentrate",96.63
176,Muffin Hinge - 211n,15.01
177,"Lemonade - Black Cherry, 591 Ml",19.87
178,Gatorade - Orange,9.12
179,Flower - Daisies,47.87
180,Onion Powder,40.15
181,Veal - Knuckle,40.0
182,Phyllo Dough,70.01
183,Galliano,44.98
184,"Juice - V8, Tomato",46.94
185,Flower - Commercial Bronze,32.23
186,Veal - Slab Bacon,97.29
187,Pickerel - Fillets,17.72
188,"Tart Shells - Savory, 2",73.91
189,Aspic - Clear,70.69
190,Juice - Orange,79.24
191,Wild Boar - Tenderloin,12.0
192,Wine - Hardys Bankside Shiraz,33.3
193,Bols Melon Liqueur,95.52
194,Cleaner - Lime Away,79.96
195,Chips Potato All Dressed - 43g,9.96
196,Remy Red Berry Infusion,39.19
197,Mountain Dew,93.56
198,"Wine - White, Pinot Grigio",71.93
199,Rice - Jasmine Sented,45.71
200,Pastry - Cherry Danish - Mini,62.95
