id;advertisement_expenses;expenses;income;date;business_id
109;15730;98334;186915;2020-04-01;22
110;17515;85407;737512;2020-05-01;22
111;1076;65050;866198;2020-01-01;23
112;24667;47261;913129;2020-02-01;23
113;12761;78655;807672;2020-03-01;23
114;1976;12816;158539;2020-04-01;23
115;19189;47574;785091;2020-05-01;23
116;6218;76962;520938;2020-01-01;24
117;4890;33376;424225;2020-02-01;24
118;9372;77129;144935;2020-03-01;24
119;1984;73978;315163;2020-04-01;24
120;1440;16483;107450;2020-05-01;24
121;21054;34877;484779;2020-01-01;25
122;18156;62618;495678;2020-02-01;25
123;23466;33964;960342;2020-03-01;25
124;15594;29890;138806;2020-04-01;25
125;11732;72806;627299;2020-05-01;25
126;23853;66115;475295;2020-01-01;26
127;5699;37741;838828;2020-02-01;26
128;17211;21536;12768;2020-03-01;26
129;21694;60157;530580;2020-04-01;26
130;4743;54209;610254;2020-05-01;26
131;22157;21222;412263;2020-01-01;27
132;5875;43768;481689;2020-02-01;27
133;5612;72322;927739;2020-03-01;27
134;3684;14485;998464;2020-04-01;27
135;908;82761;517663;2020-05-01;27
136;21825;65497;798043;2020-01-01;28
137;23;39606;162087;2020-02-01;28
138;15400;52713;56823;2020-03-01;28
139;910;89760;546640;2020-04-01;28
140;14246;96511;590164;2020-05-01;28
141;19866;26684;952391;2020-01-01;29
142;10262;48591;858403;2020-02-01;29
143;20326;81044;676565;2020-03-01;29
144;4836;94993;566114;2020-04-01;29
145;14068;25182;560864;2020-05-01;29
146;18522;66799;305957;2020-01-01;30
147;13182;25962;71524;2020-02-01;30
148;20387;93388;45823;2020-03-01;30
149;8723;73286;763493;2020-04-01;30
150;17755;69056;983320;2020-05-01;30
151;10274;46972;336575;2020-01-01;31
152;20121;19564;198798;2020-02-01;31
153;20709;82014;961584;2020-03-01;31
154;17040;54307;210104;2020-04-01;31
155;19170;95365;708738;2020-05-01;31
156;23759;41218;916314;2020-01-01;32
157;9062;83871;124085;2020-02-01;32
158;19320;29407;934464;2020-03-01;32
159;15053;94869;522063;2020-04-01;32
160;8675;88227;742656;2020-05-01;32
161;2466;80156;174146;2020-01-01;33
162;4513;71967;505450;2020-02-01;33
163;12054;65163;764923;2020-03-01;33
164;24973;46731;125713;2020-04-01;33
165;4580;19799;175067;2020-05-01;33
166;22485;51570;645689;2020-01-01;34
167;1328;15671;24075;2020-02-01;34
168;20303;30854;54195;2020-03-01;34
169;13366;44920;436115;2020-04-01;34
170;14112;47636;903827;2020-05-01;34
171;17523;75731;815982;2020-01-01;35
172;9692;54146;658832;2020-02-01;35
173;18085;15511;719825;2020-03-01;35
174;18115;70170;927706;2020-04-01;35
175;24189;50996;148885;2020-05-01;35
176;17268;90633;175675;2020-01-01;36
177;6786;78272;676769;2020-02-01;36
178;13202;93455;397187;2020-03-01;36
179;24329;69940;288553;2020-04-01;36
180;346;76327;474242;2020-05-01;36
181;9917;74903;215143;2020-01-01;37
182;19161;41351;43751;2020-02-01;37
183;12081;28835;926005;2020-03-01;37
184;17960;50966;850385;2020-04-01;37
185;3752;73060;523777;2020-05-01;37
186;13969;27475;242556;2020-01-01;38
187;3139;50202;185638;2020-02-01;38
188;13894;26862;72027;2020-03-01;38
189;16999;32409;256304;2020-04-01;38
190;15559;38104;987609;2020-05-01;38
191;23611;55572;294879;2020-01-01;39
192;3700;94961;898976;2020-02-01;39
193;22546;69305;825032;2020-03-01;39
194;559;81902;343968;2020-04-01;39
195;914;22403;291999;2020-05-01;39
196;17482;53375;301185;2020-01-01;40
197;2719;85163;781503;2020-02-01;40
198;8040;32943;248640;2020-03-01;40
199;14724;66155;48375;2020-04-01;40
200;10056;85524;597616;2020-05-01;40
201;19367;95928;980517;2020-01-01;41
202;18735;20351;367322;2020-02-01;41
203;16223;49451;302064;2020-03-01;41
204;24244;40687;588234;2020-04-01;41
205;18783;25453;296983;2020-05-01;41
206;2364;56375;645965;2020-01-01;42
207;10044;20803;762661;2020-02-01;42
208;13700;18757;169416;2020-03-01;42
209;2016;30464;74293;2020-04-01;42
210;22901;81248;202918;2020-05-01;42
211;19124;85019;529926;2020-01-01;43
212;880;71881;645971;2020-02-01;43
213;15853;40212;951970;2020-03-01;43
214;24966;35104;174529;2020-04-01;43
215;5381;88154;346045;2020-05-01;43
216;8086;95255;684680;2020-01-01;44
217;13180;93386;631110;2020-02-01;44
218;15853;17192;158048;2020-03-01;44
219;1788;19296;198044;2020-04-01;44
220;17422;42338;813652;2020-05-01;44
221;1524;89468;575279;2020-01-01;45
222;8798;48557;787517;2020-02-01;45
223;3406;13338;385593;2020-03-01;45
224;7330;11096;713667;2020-04-01;45
225;9458;52063;891997;2020-05-01;45
226;17734;82800;319215;2020-01-01;46
227;17299;31547;557318;2020-02-01;46
228;12010;39366;842286;2020-03-01;46
229;15158;76600;186734;2020-04-01;46
230;21876;68156;945148;2020-05-01;46
231;15337;63500;352118;2020-01-01;47
232;14699;55987;555762;2020-02-01;47
233;6080;25635;378775;2020-03-01;47
234;5368;92971;902400;2020-04-01;47
235;14935;99654;671783;2020-05-01;47
236;20903;89717;983835;2020-01-01;48
237;1093;34610;190202;2020-02-01;48
238;348;61302;893124;2020-03-01;48
239;9996;99288;490343;2020-04-01;48
240;6188;96159;895878;2020-05-01;48
241;17823;30668;383464;2020-01-01;49
242;24315;52240;237090;2020-02-01;49
243;21715;72145;54401;2020-03-01;49
244;12055;60118;819413;2020-04-01;49
245;23422;15480;179117;2020-05-01;49
246;213;93949;463954;2020-01-01;50
247;11545;58889;193773;2020-02-01;50
248;1896;92812;27465;2020-03-01;50
249;3881;87008;584798;2020-04-01;50
250;3900;92082;744842;2020-05-01;50
251;1618;14406;984562;2020-01-01;51
252;14918;73142;61558;2020-02-01;51
253;8947;32117;245655;2020-03-01;51
254;17581;16939;857875;2020-04-01;51
255;6363;95455;34376;2020-05-01;51
256;14322;37715;926872;2020-01-01;52
257;388;50966;864345;2020-02-01;52
258;1820;35565;973642;2020-03-01;52
259;22425;53495;22851;2020-04-01;52
260;8350;18896;404626;2020-05-01;52
261;6035;13687;947551;2020-01-01;53
262;17619;15741;22454;2020-02-01;53
263;5807;72623;840656;2020-03-01;53
264;14237;77775;79444;2020-04-01;53
265;1712;33732;186645;2020-05-01;53
266;12787;10941;544540;2020-01-01;54
267;7227;69707;148378;2020-02-01;54
268;3417;16824;93947;2020-03-01;54
269;23460;61426;237841;2020-04-01;54
270;21567;71531;847738;2020-05-01;54
271;16513;24279;702978;2020-01-01;55
272;17418;11056;415909;2020-02-01;55
273;9845;81462;601423;2020-03-01;55
274;6100;61165;399798;2020-04-01;55
275;12058;86608;761032;2020-05-01;55
276;7457;13636;802020;2020-01-01;56
277;12825;54411;923498;2020-02-01;56
278;431;96515;534904;2020-03-01;56
279;7936;86970;259048;2020-04-01;56
280;22067;88402;416024;2020-05-01;56
281;604;30580;390550;2020-01-01;57
282;6923;89549;750385;2020-02-01;57
283;4765;70544;230526;2020-03-01;57
284;24510;44684;649953;2020-04-01;57
285;19748;82833;819599;2020-05-01;57
286;11486;49199;429974;2020-01-01;58
287;18700;24859;561725;2020-02-01;58
288;2908;30239;907450;2020-03-01;58
289;5765;27594;336938;2020-04-01;58
290;14138;90902;252370;2020-05-01;58
291;7244;43034;489566;2020-01-01;59
292;9214;11532;804290;2020-02-01;59
293;17877;65455;16255;2020-03-01;59
294;24137;74651;59782;2020-04-01;59
295;16630;57121;59959;2020-05-01;59
296;20383;51874;283965;2020-01-01;60
297;5759;29487;303085;2020-02-01;60
298;23211;20215;291891;2020-03-01;60
299;9001;49102;99322;2020-04-01;60
300;9039;56864;432298;2020-05-01;60
301;18175;53434;303685;2020-01-01;61
302;13227;32454;639069;2020-02-01;61
303;20457;22847;710653;2020-03-01;61
304;17700;79933;484110;2020-04-01;61
305;22278;88478;699072;2020-05-01;61
306;15799;28305;165417;2020-01-01;62
307;13255;79462;267359;2020-02-01;62
308;15643;94719;740026;2020-03-01;62
309;9616;35822;782254;2020-04-01;62
310;21802;70636;95933;2020-05-01;62
311;10940;70465;403356;2020-01-01;63
312;15886;54355;16101;2020-02-01;63
313;6030;48559;933533;2020-03-01;63
314;12899;13466;456302;2020-04-01;63
315;8073;31712;454497;2020-05-01;63
316;21285;67244;853501;2020-01-01;64
317;9640;28432;506401;2020-02-01;64
318;5455;55312;446669;2020-03-01;64
319;6907;60223;195799;2020-04-01;64
320;6709;53619;486850;2020-05-01;64
321;21506;88991;51352;2020-01-01;65
322;18752;50267;945113;2020-02-01;65
323;12409;27319;69700;2020-03-01;65
324;943;24448;563366;2020-04-01;65
325;6702;13284;287712;2020-05-01;65
326;12824;58903;227882;2020-01-01;66
327;13239;12334;639711;2020-02-01;66
328;15769;13935;562230;2020-03-01;66
329;13580;70623;382880;2020-04-01;66
330;18835;79221;439438;2020-05-01;66
331;12474;86060;261804;2020-01-01;67
332;14568;68000;231291;2020-02-01;67
333;14353;89107;598134;2020-03-01;67
334;15725;18649;313949;2020-04-01;67
335;15822;37739;177714;2020-05-01;67
336;8442;72645;538854;2020-01-01;68
337;10531;16695;855925;2020-02-01;68
338;20345;89404;259162;2020-03-01;68
339;22086;71817;475383;2020-04-01;68
340;5981;27986;40222;2020-05-01;68
341;20108;99465;221927;2020-01-01;69
342;8460;38253;375548;2020-02-01;69
343;15986;97173;76499;2020-03-01;69
344;9144;54220;849477;2020-04-01;69
345;16031;67301;125562;2020-05-01;69
346;1846;12391;80184;2020-01-01;70
347;16171;26370;654459;2020-02-01;70
348;24360;38860;90306;2020-03-01;70
349;22853;47627;411014;2020-04-01;70
350;8999;58818;727971;2020-05-01;70
351;21208;60766;410429;2020-01-01;71
352;11118;59704;165195;2020-02-01;71
353;5639;55460;855586;2020-03-01;71
354;775;71274;192498;2020-04-01;71
355;24955;29136;798710;2020-05-01;71
356;11987;78234;508834;2020-01-01;72
357;20149;37442;572666;2020-02-01;72
358;6157;28409;572164;2020-03-01;72
359;22593;66311;698002;2020-04-01;72
360;2603;92402;272774;2020-05-01;72
361;3387;16317;790945;2020-01-01;73
362;8621;35021;885980;2020-02-01;73
363;13414;36479;894039;2020-03-01;73
364;12006;33268;96587;2020-04-01;73
365;4757;86688;379774;2020-05-01;73
366;23722;65061;128037;2020-01-01;74
367;399;10752;414578;2020-02-01;74
368;10447;74906;531410;2020-03-01;74
369;13059;33895;539138;2020-04-01;74
370;5852;61305;650217;2020-05-01;74
371;6526;78179;860487;2020-01-01;75
372;24557;44254;536464;2020-02-01;75
373;6063;78345;990185;2020-03-01;75
374;8160;29357;197770;2020-04-01;75
375;2215;85685;944368;2020-05-01;75
376;7714;50969;327187;2020-01-01;76
377;17493;83604;143363;2020-02-01;76
378;18379;85096;872652;2020-03-01;76
379;1868;17389;888874;2020-04-01;76
380;5201;71502;823670;2020-05-01;76
381;1034;67990;255496;2020-01-01;77
382;23042;83376;911559;2020-02-01;77
383;22714;85803;458809;2020-03-01;77
384;11809;63568;201406;2020-04-01;77
385;19431;79836;359719;2020-05-01;77
386;1685;33940;205487;2020-01-01;78
387;2244;34811;132371;2020-02-01;78
388;23260;47316;740766;2020-03-01;78
389;13537;38694;727815;2020-04-01;78
390;13066;10661;58804;2020-05-01;78
391;3477;65418;962175;2020-01-01;79
392;7026;15809;530626;2020-02-01;79
393;12779;54195;208697;2020-03-01;79
394;837;97500;792655;2020-04-01;79
395;9532;13314;781571;2020-05-01;79
396;9058;30002;382115;2020-01-01;80
397;22607;36309;815615;2020-02-01;80
398;18691;74847;243823;2020-03-01;80
399;16767;86927;715242;2020-04-01;80
400;10221;41760;233580;2020-05-01;80
401;21720;73989;906580;2020-01-01;81
402;7420;74840;136611;2020-02-01;81
403;1335;35018;748845;2020-03-01;81
404;15126;79609;713609;2020-04-01;81
405;6913;33841;742923;2020-05-01;81
406;927;37553;499706;2020-01-01;82
407;18603;27837;781379;2020-02-01;82
408;378;15736;684761;2020-03-01;82
409;20437;54439;283162;2020-04-01;82
410;9318;94953;254531;2020-05-01;82
411;23236;31568;943012;2020-01-01;83
412;8061;15713;860356;2020-02-01;83
413;12514;48925;929028;2020-03-01;83
414;12740;38198;406168;2020-04-01;83
415;21191;37147;937909;2020-05-01;83
416;11214;24031;966832;2020-01-01;84
417;18440;63043;733757;2020-02-01;84
418;14155;76693;760575;2020-03-01;84
419;6521;83103;75472;2020-04-01;84
420;24868;79673;796017;2020-05-01;84
421;22495;46064;249598;2020-01-01;85
422;6738;25104;990292;2020-02-01;85
423;3789;41187;142231;2020-03-01;85
424;14542;51438;106608;2020-04-01;85
425;7322;58707;494742;2020-05-01;85
426;5897;89370;655505;2020-01-01;86
427;16417;76709;214236;2020-02-01;86
428;8438;78584;120639;2020-03-01;86
429;1613;35329;618811;2020-04-01;86
430;14764;69256;459772;2020-05-01;86
431;5278;71345;646305;2020-01-01;87
432;19380;39025;291491;2020-02-01;87
433;24823;73354;315293;2020-03-01;87
434;5294;70900;227375;2020-04-01;87
435;2470;56957;190055;2020-05-01;87
436;1404;41469;602915;2020-01-01;88
437;12483;81352;671990;2020-02-01;88
438;14602;88591;243984;2020-03-01;88
439;8969;70092;958948;2020-04-01;88
440;140;34931;595394;2020-05-01;88
441;24027;17412;230939;2020-01-01;89
442;24635;75887;230271;2020-02-01;89
443;22219;67962;98918;2020-03-01;89
444;22993;62971;222238;2020-04-01;89
445;6166;58628;679895;2020-05-01;89
446;24502;29303;159441;2020-01-01;90
447;22520;40094;127089;2020-02-01;90
448;22426;25773;771507;2020-03-01;90
449;14815;22369;660725;2020-04-01;90
450;7477;97855;897801;2020-05-01;90
451;24510;26998;964057;2020-01-01;91
452;1606;41564;205426;2020-02-01;91
453;16451;29971;902707;2020-03-01;91
454;24191;11020;160877;2020-04-01;91
455;15218;33726;924977;2020-05-01;91
456;19630;40064;21491;2020-01-01;92
457;18820;78288;396073;2020-02-01;92
458;19344;27605;477651;2020-03-01;92
459;24483;90524;683885;2020-04-01;92
460;23003;80497;771346;2020-05-01;92
461;19321;69855;177684;2020-01-01;93
462;18404;96047;291162;2020-02-01;93
463;10690;32335;482629;2020-03-01;93
464;20401;33139;789967;2020-04-01;93
465;21138;50861;208862;2020-05-01;93
466;21551;35853;209220;2020-01-01;94
467;21322;74778;191439;2020-02-01;94
468;24521;16007;663591;2020-03-01;94
469;12934;97619;201448;2020-04-01;94
470;1464;85893;225954;2020-05-01;94
471;22113;75713;206407;2020-01-01;95
472;10212;19888;418800;2020-02-01;95
473;7978;89845;62418;2020-03-01;95
474;22100;48722;173595;2020-04-01;95
475;2856;75069;160476;2020-05-01;95
476;4983;62710;607979;2020-01-01;96
477;8368;74961;277335;2020-02-01;96
478;11297;94439;633681;2020-03-01;96
479;15333;86707;436568;2020-04-01;96
480;18459;10113;924732;2020-05-01;96
481;1695;81135;286083;2020-01-01;97
482;10903;43559;900212;2020-02-01;97
483;3475;50636;676639;2020-03-01;97
484;446;92478;868818;2020-04-01;97
485;18623;72323;982295;2020-05-01;97
486;13239;36596;271208;2020-01-01;98
487;2506;33477;540488;2020-02-01;98
488;24065;35638;674934;2020-03-01;98
489;5039;20307;137793;2020-04-01;98
490;6982;72942;773550;2020-05-01;98
491;23078;51983;84098;2020-01-01;99
492;24971;28697;699341;2020-02-01;99
493;20296;77265;494631;2020-03-01;99
494;4704;14270;729139;2020-04-01;99
495;22322;13807;119596;2020-05-01;99
496;2484;95748;331252;2020-01-01;100
497;23949;32177;119789;2020-02-01;100
498;6124;97469;880273;2020-03-01;100
499;12140;44829;382496;2020-04-01;100
500;6860;90285;872318;2020-05-01;100
501;464;32084;954787;2020-01-01;101
502;21889;47382;237983;2020-02-01;101
503;5640;41263;793499;2020-03-01;101
504;11229;92381;376409;2020-04-01;101
505;11424;18795;505599;2020-05-01;101
506;13885;85539;847495;2020-01-01;102
507;6286;14558;390042;2020-02-01;102
508;11827;34455;520805;2020-03-01;102
509;8150;26163;868194;2020-04-01;102
510;19280;47439;295731;2020-05-01;102
511;13421;83654;760630;2020-01-01;103
512;18137;93721;523979;2020-02-01;103
513;6943;97545;879718;2020-03-01;103
514;13925;67117;935121;2020-04-01;103
515;12265;86061;883419;2020-05-01;103
516;3950;16767;508231;2020-01-01;104
517;19;57921;962171;2020-02-01;104
518;12261;25536;725496;2020-03-01;104
519;4980;26325;631612;2020-04-01;104
520;18977;11859;425766;2020-05-01;104
521;14901;39935;752976;2020-01-01;105
522;1764;43184;157572;2020-02-01;105
523;11865;90535;534330;2020-03-01;105
524;16814;11710;140569;2020-04-01;105
525;4301;65701;703914;2020-05-01;105
526;143;45101;471074;2020-01-01;106
527;23047;32229;104197;2020-02-01;106
528;10306;40706;211604;2020-03-01;106
529;20913;12358;560092;2020-04-01;106
530;658;57539;184038;2020-05-01;106
531;260;11254;217772;2020-01-01;107
532;22202;21058;702153;2020-02-01;107
533;19999;72996;900035;2020-03-01;107
534;17933;99290;35649;2020-04-01;107
535;10523;85131;881296;2020-05-01;107
536;8484;94526;581680;2020-01-01;108
537;8324;23579;459986;2020-02-01;108
538;16892;75727;367666;2020-03-01;108
539;10010;23457;167531;2020-04-01;108
540;2466;36576;60954;2020-05-01;108
541;15976;11746;748680;2020-01-01;109
542;20618;93179;964810;2020-02-01;109
543;21361;58504;971163;2020-03-01;109
544;17168;30099;558344;2020-04-01;109
545;15320;25659;104210;2020-05-01;109
546;182;17026;796512;2020-01-01;110
547;22147;44825;542371;2020-02-01;110
548;2155;50754;133740;2020-03-01;110
549;21216;59126;953224;2020-04-01;110
550;2953;24458;48916;2020-05-01;110
551;1614;57086;615866;2020-01-01;111
552;2761;69118;327356;2020-02-01;111
553;24043;61122;870282;2020-03-01;111
554;15770;10786;529113;2020-04-01;111
555;5309;25879;18103;2020-05-01;111
556;22400;40101;592830;2020-01-01;112
557;7389;39963;606967;2020-02-01;112
558;20838;53901;119540;2020-03-01;112
559;18529;26558;535273;2020-04-01;112
560;7999;99404;527026;2020-05-01;112
561;23826;69407;100134;2020-01-01;113
562;10774;30513;56453;2020-02-01;113
563;16577;40015;998572;2020-03-01;113
564;18271;36355;421182;2020-04-01;113
565;10369;79467;575180;2020-05-01;113
566;22035;27402;404574;2020-01-01;114
567;13215;97016;54619;2020-02-01;114
568;5843;57295;766709;2020-03-01;114
569;8433;68785;79613;2020-04-01;114
570;23219;74122;162803;2020-05-01;114
571;7543;24187;754361;2020-01-01;115
572;13256;68809;72220;2020-02-01;115
573;9920;75228;957651;2020-03-01;115
574;20248;14161;224900;2020-04-01;115
575;20508;83245;13364;2020-05-01;115
576;4192;67646;548125;2020-01-01;116
577;14834;43756;420125;2020-02-01;116
578;4578;92518;688648;2020-03-01;116
579;15826;93449;303017;2020-04-01;116
580;6975;56184;907761;2020-05-01;116
581;5747;13698;895861;2020-01-01;117
582;20215;24994;497045;2020-02-01;117
583;24239;76500;779986;2020-03-01;117
584;4056;92093;301689;2020-04-01;117
585;3145;31055;858015;2020-05-01;117
586;5802;26982;218567;2020-01-01;118
587;15546;64125;126409;2020-02-01;118
588;21465;58237;918449;2020-03-01;118
589;16722;53306;449609;2020-04-01;118
590;20815;90768;324102;2020-05-01;118
591;231;74829;622763;2020-01-01;119
592;10487;61305;667892;2020-02-01;119
593;1049;34236;932372;2020-03-01;119
594;24564;10416;480470;2020-04-01;119
595;21807;34150;261397;2020-05-01;119
596;455;15660;748184;2020-01-01;120
597;1718;83766;471926;2020-02-01;120
598;19548;72697;931593;2020-03-01;120
599;18902;27278;628339;2020-04-01;120
600;17921;36389;900877;2020-05-01;120
601;4005;27599;179465;2020-01-01;121
602;7769;55722;213764;2020-02-01;121
603;9707;18006;452094;2020-03-01;121
604;12197;13872;130696;2020-04-01;121
605;23891;12190;600197;2020-05-01;121
606;12269;98872;839405;2020-01-01;122
607;14486;29082;368455;2020-02-01;122
608;6108;25790;134997;2020-03-01;122
609;3347;80367;558499;2020-04-01;122
610;5994;20988;865618;2020-05-01;122
611;14587;87663;98572;2020-01-01;123
612;24017;72756;866711;2020-02-01;123
613;2385;91776;277543;2020-03-01;123
614;15291;93218;845486;2020-04-01;123
615;4281;63368;860581;2020-05-01;123
616;13807;15210;102103;2020-01-01;124
617;16954;43932;841650;2020-02-01;124
618;24329;65824;857132;2020-03-01;124
619;23549;11605;476335;2020-04-01;124
620;4554;82914;210402;2020-05-01;124
621;9676;39819;714662;2020-01-01;125
622;5402;56582;186981;2020-02-01;125
623;5648;21129;541130;2020-03-01;125
624;11083;73431;262099;2020-04-01;125
625;3796;77213;771426;2020-05-01;125
626;22010;44365;610725;2020-01-01;126
627;22348;55687;713712;2020-02-01;126
628;24500;39168;149448;2020-03-01;126
629;12551;59038;874597;2020-04-01;126
630;10534;15954;992465;2020-05-01;126
631;57;30872;980341;2020-01-01;127
632;8866;77223;952488;2020-02-01;127
633;3102;91167;987249;2020-03-01;127
634;22286;27084;844630;2020-04-01;127
635;13220;79393;27031;2020-05-01;127
636;7175;68743;559092;2020-01-01;128
637;24039;23323;807523;2020-02-01;128
638;18915;21449;754491;2020-03-01;128
639;7426;43965;56241;2020-04-01;128
640;22064;57669;718142;2020-05-01;128
641;12625;35857;705913;2020-01-01;129
642;12422;53844;965742;2020-02-01;129
643;17463;60181;271599;2020-03-01;129
644;18006;98575;843725;2020-04-01;129
645;5675;76715;671718;2020-05-01;129
646;11982;42926;359550;2020-01-01;130
647;12853;59463;66865;2020-02-01;130
648;20214;32093;955590;2020-03-01;130
649;24997;68336;836499;2020-04-01;130
650;17978;92238;173020;2020-05-01;130
651;23039;28537;348324;2020-01-01;131
652;4685;56890;419485;2020-02-01;131
653;18511;95049;174509;2020-03-01;131
654;14497;66547;764776;2020-04-01;131
655;16772;89541;890150;2020-05-01;131
656;15061;29246;632889;2020-01-01;132
657;15508;85804;777518;2020-02-01;132
658;18454;20452;778453;2020-03-01;132
659;4268;75086;66526;2020-04-01;132
660;10556;53213;186532;2020-05-01;132
661;10604;55292;470022;2020-01-01;133
662;4872;38414;906588;2020-02-01;133
663;3369;71011;934985;2020-03-01;133
664;15927;16309;102243;2020-04-01;133
665;2458;84488;424890;2020-05-01;133
666;15984;92488;665590;2020-01-01;134
667;11705;50021;910689;2020-02-01;134
668;14326;17542;212162;2020-03-01;134
669;17465;21539;309207;2020-04-01;134
670;17705;46467;25619;2020-05-01;134
671;18724;52545;982630;2020-01-01;135
672;8688;82187;897880;2020-02-01;135
673;2889;38700;656756;2020-03-01;135
674;11018;28038;949933;2020-04-01;135
675;20897;72631;793104;2020-05-01;135
676;4866;18268;223157;2020-01-01;136
677;1985;59922;926009;2020-02-01;136
678;12694;23146;699289;2020-03-01;136
679;23959;12162;261979;2020-04-01;136
680;24713;64284;914103;2020-05-01;136
681;21232;55564;392327;2020-01-01;137
682;20101;94276;12041;2020-02-01;137
683;10551;90473;352433;2020-03-01;137
684;14658;61904;40749;2020-04-01;137
685;6138;95851;87669;2020-05-01;137
686;13961;60068;451137;2020-01-01;138
687;19834;61435;36192;2020-02-01;138
688;6467;11424;469109;2020-03-01;138
689;16151;16036;521250;2020-04-01;138
690;13234;42509;730085;2020-05-01;138
691;4814;89853;128363;2020-01-01;139
692;1318;85726;113514;2020-02-01;139
693;3264;81765;251895;2020-03-01;139
694;20129;90570;947858;2020-04-01;139
695;22595;61684;350072;2020-05-01;139
696;10423;16188;960377;2020-01-01;140
697;20389;76631;25836;2020-02-01;140
698;14094;16339;569023;2020-03-01;140
699;10410;33211;291173;2020-04-01;140
