id;date_of_order;date_of_delivery;customer_id
186;2020-01-01;2020-01-19;93
187;2020-01-03;2020-02-01;102
188;2020-01-03;2020-01-09;83
189;2020-01-04;2020-01-18;135
190;2020-01-06;2020-01-11;154
191;2020-01-06;2020-01-29;78
192;2020-01-05;2020-02-01;120
193;2020-01-03;2020-01-19;23
194;2020-01-05;2020-01-31;71
195;2020-01-06;2020-02-05;183
196;2020-01-03;2020-01-29;49
197;2020-01-05;2020-01-21;104
198;2020-01-02;2020-01-13;38
199;2020-01-02;2020-01-31;124
200;2020-01-04;2020-01-16;127
201;2020-01-03;2020-01-16;53
202;2020-01-05;2020-01-29;175
203;2020-01-04;2020-01-18;145
204;2020-01-06;2020-01-15;189
205;2020-01-02;2020-01-27;34
206;2020-01-01;2020-01-15;66
207;2020-01-03;2020-01-10;117
208;2020-01-01;2020-01-28;148
209;2020-01-06;2020-01-27;63
210;2020-01-04;2020-01-18;89
211;2020-01-05;2020-01-30;63
212;2020-01-06;2020-01-25;188
213;2020-01-05;2020-02-01;129
214;2020-01-02;2020-01-11;174
215;2020-01-06;2020-01-13;197
216;2020-01-06;2020-01-21;161
217;2020-01-02;2020-01-30;151
218;2020-01-01;2020-01-11;154
219;2020-01-03;2020-01-23;174
220;2020-01-05;2020-01-27;145
221;2020-01-05;2020-01-29;193
222;2020-01-05;2020-01-13;63
223;2020-01-05;2020-01-14;2
224;2020-01-03;2020-01-21;127
225;2020-01-06;2020-01-17;200
226;2020-01-06;2020-01-28;161
227;2020-01-03;2020-01-08;117
228;2020-01-04;2020-02-02;134
229;2020-01-01;2020-01-19;88
230;2020-01-01;2020-01-11;124
231;2020-01-03;2020-01-09;101
232;2020-01-02;2020-01-22;63
233;2020-01-03;2020-01-20;30
234;2020-01-01;2020-01-30;155
235;2020-01-04;2020-02-01;47
236;2020-01-01;2020-01-25;96
237;2020-01-04;2020-01-21;94
238;2020-01-03;2020-01-09;90
239;2020-01-01;2020-01-19;117
240;2020-01-04;2020-02-01;58
241;2020-01-01;2020-01-21;137
242;2020-01-01;2020-01-21;189
243;2020-01-02;2020-01-22;149
244;2020-01-06;2020-01-14;91
245;2020-01-02;2020-01-25;4
246;2020-01-04;2020-01-18;118
247;2020-01-02;2020-02-01;8
248;2020-01-01;2020-01-16;190
249;2020-01-03;2020-01-31;141
250;2020-01-06;2020-02-05;40
251;2020-01-04;2020-01-14;141
252;2020-01-06;2020-01-21;176
253;2020-01-06;2020-01-12;93
254;2020-01-04;2020-01-09;174
255;2020-01-04;2020-01-19;124
256;2020-01-04;2020-01-30;147
257;2020-01-04;2020-01-26;132
258;2020-01-01;2020-01-21;90
259;2020-01-03;2020-01-08;82
260;2020-01-04;2020-01-07;166
261;2020-01-06;2020-01-19;79
262;2020-01-02;2020-01-22;133
263;2020-01-04;2020-01-08;177
264;2020-01-01;2020-01-25;97
265;2020-01-05;2020-01-19;2
266;2020-01-01;2020-01-06;7
267;2020-01-02;2020-01-19;64
268;2020-01-06;2020-01-31;173
269;2020-01-05;2020-02-04;68
270;2020-01-05;2020-01-31;158
271;2020-01-01;2020-01-11;43
272;2020-01-04;2020-02-01;133
273;2020-01-01;2020-01-15;70
274;2020-01-03;2020-01-09;91
275;2020-01-05;2020-01-17;40
276;2020-01-01;2020-01-26;103
277;2020-01-02;2020-01-16;181
278;2020-01-06;2020-01-26;5
279;2020-01-06;2020-02-03;21
280;2020-01-03;2020-01-17;59
281;2020-01-03;2020-01-12;74
282;2020-01-06;2020-02-04;133
283;2020-01-03;2020-02-01;74
284;2020-01-06;2020-01-17;162
285;2020-01-04;2020-01-31;100
286;2020-01-01;2020-01-08;198
287;2020-01-05;2020-01-26;38
288;2020-01-02;2020-01-21;90
289;2020-01-01;2020-01-17;66
290;2020-01-06;2020-01-10;200
291;2020-01-04;2020-01-07;121
292;2020-01-06;2020-01-27;197
293;2020-01-05;2020-02-02;96
294;2020-01-01;2020-01-28;199
295;2020-01-05;2020-02-03;104
296;2020-01-05;2020-01-19;11
297;2020-01-03;2020-01-13;50
298;2020-01-03;2020-01-14;190
299;2020-01-03;2020-02-01;44
300;2020-01-02;2020-01-19;63
301;2020-01-02;2020-01-23;160
302;2020-01-04;2020-01-10;114
303;2020-01-05;2020-01-27;83
304;2020-01-05;2020-01-20;101
305;2020-01-04;2020-01-07;195
306;2020-01-05;2020-02-01;89
307;2020-01-03;2020-02-01;23
308;2020-01-04;2020-01-15;111
309;2020-01-01;2020-01-04;105
310;2020-01-02;2020-01-18;176
311;2020-01-02;2020-01-08;17
312;2020-01-05;2020-01-28;166
313;2020-01-05;2020-01-28;18
314;2020-01-04;2020-01-11;62
315;2020-01-01;2020-01-06;179
316;2020-01-04;2020-01-27;93
317;2020-01-02;2020-01-15;67
318;2020-01-06;2020-01-29;41
319;2020-01-05;2020-01-09;141
320;2020-01-04;2020-01-12;45
321;2020-01-06;2020-01-26;63
322;2020-01-05;2020-01-20;82
323;2020-01-03;2020-01-07;13
324;2020-01-04;2020-01-23;157
325;2020-01-04;2020-01-26;109
326;2020-01-06;2020-01-24;22
327;2020-01-05;2020-01-29;11
328;2020-01-05;2020-02-04;160
329;2020-01-01;2020-01-15;69
330;2020-01-03;2020-01-14;21
331;2020-01-06;2020-01-16;130
332;2020-01-05;2020-01-23;163
333;2020-01-03;2020-01-26;41
334;2020-01-01;2020-01-06;9
335;2020-01-01;2020-01-28;75
336;2020-01-06;2020-01-25;127
337;2020-01-03;2020-01-30;154
338;2020-01-06;2020-01-27;174
339;2020-01-03;2020-01-11;182
340;2020-01-02;2020-01-17;131
341;2020-01-01;2020-01-14;28
342;2020-01-03;2020-01-18;40
343;2020-01-01;2020-01-07;5
344;2020-01-03;2020-01-19;106
345;2020-01-01;2020-01-13;2
346;2020-01-06;2020-01-29;141
347;2020-01-04;2020-01-08;108
348;2020-01-06;2020-01-22;88
349;2020-01-06;2020-01-16;59
350;2020-01-04;2020-01-20;185
351;2020-01-06;2020-01-28;108
352;2020-01-01;2020-01-23;4
353;2020-01-04;2020-01-16;83
354;2020-01-06;2020-01-23;142
355;2020-01-05;2020-01-17;24
356;2020-01-06;2020-01-20;176
357;2020-01-03;2020-01-08;146
358;2020-01-01;2020-01-25;103
359;2020-01-05;2020-01-23;183
360;2020-01-04;2020-01-29;16
361;2020-01-01;2020-01-18;63
362;2020-01-03;2020-01-29;98
363;2020-01-02;2020-01-30;164
364;2020-01-03;2020-01-17;175
365;2020-01-06;2020-01-17;88
366;2020-01-06;2020-02-04;130
367;2020-01-03;2020-01-15;10
368;2020-01-01;2020-01-08;150
369;2020-01-01;2020-01-08;139
370;2020-01-05;2020-02-01;35
371;2020-01-03;2020-01-06;194
372;2020-01-05;2020-01-31;96
373;2020-01-06;2020-01-10;82
374;2020-01-03;2020-01-31;3
375;2020-01-04;2020-01-19;67
376;2020-01-04;2020-01-22;92
377;2020-01-03;2020-01-25;111
378;2020-01-06;2020-01-24;75
379;2020-01-06;2020-01-20;110
380;2020-01-03;2020-01-06;63
381;2020-01-01;2020-01-28;168
382;2020-01-01;2020-01-27;53
383;2020-01-02;2020-01-13;152
384;2020-01-03;2020-01-24;95
385;2020-01-02;2020-01-21;13
386;2020-01-02;2020-02-01;44
387;2020-01-05;2020-01-17;83
388;2020-01-01;2020-01-27;82
389;2020-01-06;2020-01-11;154
390;2020-01-03;2020-02-02;57
391;2020-01-06;2020-02-03;171
392;2020-01-02;2020-01-28;50
393;2020-01-02;2020-01-09;198
394;2020-01-02;2020-01-05;25
395;2020-01-05;2020-01-29;146
396;2020-01-03;2020-01-20;79
397;2020-01-04;2020-01-17;77
398;2020-01-03;2020-01-09;61
399;2020-01-05;2020-01-28;70
400;2020-01-06;2020-01-15;170
401;2020-01-06;2020-02-05;129
402;2020-01-04;2020-01-21;108
403;2020-01-03;2020-01-22;16
404;2020-01-01;2020-01-29;163
405;2020-01-04;2020-01-13;51
406;2020-01-03;2020-01-21;148
407;2020-01-03;2020-01-31;179
408;2020-01-04;2020-01-22;21
409;2020-01-06;2020-01-16;60
410;2020-01-05;2020-01-13;8
411;2020-01-06;2020-01-26;127
412;2020-01-02;2020-01-12;30
413;2020-01-06;2020-01-10;124
414;2020-01-03;2020-01-19;79
415;2020-01-06;2020-02-05;130
416;2020-01-05;2020-01-24;162
417;2020-01-03;2020-01-30;154
418;2020-01-03;2020-01-13;34
419;2020-01-05;2020-01-27;128
420;2020-01-01;2020-01-14;1
421;2020-01-02;2020-01-05;5
422;2020-01-05;2020-01-24;197
423;2020-01-06;2020-01-10;81
424;2020-01-06;2020-01-23;129
425;2020-01-04;2020-01-21;115
426;2020-01-06;2020-01-15;147
427;2020-01-01;2020-01-11;29
428;2020-01-05;2020-01-09;177
429;2020-01-02;2020-01-30;195
430;2020-01-05;2020-01-23;36
431;2020-01-01;2020-01-28;65
432;2020-01-02;2020-01-20;24
433;2020-01-03;2020-01-23;139
434;2020-01-01;2020-01-30;36
435;2020-01-03;2020-01-28;65
436;2020-01-03;2020-01-24;44
437;2020-01-06;2020-02-03;107
438;2020-01-05;2020-01-09;57
439;2020-01-03;2020-01-12;24
440;2020-01-03;2020-01-10;75
441;2020-01-02;2020-01-29;26
442;2020-01-01;2020-01-19;139
443;2020-01-06;2020-01-15;46
444;2020-01-06;2020-01-20;27
445;2020-01-05;2020-01-31;129
446;2020-01-01;2020-01-27;8
447;2020-01-01;2020-01-31;91
448;2020-01-02;2020-01-23;194
449;2020-01-05;2020-01-09;9
450;2020-01-04;2020-02-03;25
451;2020-01-03;2020-01-28;178
452;2020-01-01;2020-01-25;172
453;2020-01-05;2020-01-20;53
454;2020-01-05;2020-01-13;43
455;2020-01-04;2020-01-13;124
456;2020-01-03;2020-01-15;40
457;2020-01-03;2020-01-14;160
458;2020-01-01;2020-01-16;113
459;2020-01-04;2020-01-15;153
460;2020-01-03;2020-01-22;54
461;2020-01-03;2020-01-09;26
462;2020-01-06;2020-01-21;123
463;2020-01-03;2020-01-08;142
464;2020-01-06;2020-01-09;181
465;2020-01-01;2020-01-28;167
466;2020-01-06;2020-01-27;178
467;2020-01-04;2020-01-08;1
468;2020-01-05;2020-01-28;36
469;2020-01-01;2020-01-14;167
470;2020-01-02;2020-01-16;39
471;2020-01-03;2020-01-10;156
472;2020-01-03;2020-01-26;56
473;2020-01-03;2020-01-29;106
474;2020-01-03;2020-01-12;55
475;2020-01-04;2020-01-16;175
476;2020-01-01;2020-01-30;18
477;2020-01-06;2020-01-28;134
478;2020-01-04;2020-01-17;118
479;2020-01-01;2020-01-29;127
480;2020-01-04;2020-01-30;149
481;2020-01-06;2020-01-20;65
482;2020-01-03;2020-01-23;176
483;2020-01-05;2020-02-03;121
484;2020-01-06;2020-01-18;121
485;2020-01-03;2020-01-28;150
486;2020-01-05;2020-02-03;80
487;2020-01-04;2020-01-17;73
488;2020-01-05;2020-01-30;190
489;2020-01-02;2020-01-12;137
490;2020-01-05;2020-01-16;102
491;2020-01-06;2020-01-16;25
492;2020-01-01;2020-01-28;20
493;2020-01-05;2020-01-14;16
494;2020-01-05;2020-01-16;151
495;2020-01-06;2020-01-16;109
496;2020-01-02;2020-01-15;110
497;2020-01-02;2020-01-28;1
498;2020-01-03;2020-01-16;171
499;2020-01-04;2020-02-02;19
500;2020-01-02;2020-01-29;6
501;2020-01-01;2020-01-04;152
502;2020-01-03;2020-01-06;196
503;2020-01-02;2020-01-26;147
504;2020-01-01;2020-01-04;60
505;2020-01-03;2020-01-07;164
506;2020-01-04;2020-01-19;107
507;2020-01-05;2020-02-03;72
508;2020-01-02;2020-01-06;39
509;2020-01-06;2020-01-14;150
510;2020-01-02;2020-01-08;28
511;2020-01-03;2020-01-15;113
512;2020-01-04;2020-01-16;36
513;2020-01-02;2020-01-29;82
514;2020-01-04;2020-01-10;79
515;2020-01-06;2020-02-05;59
516;2020-01-05;2020-01-17;85
517;2020-01-04;2020-01-29;62
518;2020-01-03;2020-01-23;149
519;2020-01-02;2020-01-14;73
520;2020-01-01;2020-01-13;19
521;2020-01-04;2020-01-16;131
522;2020-01-03;2020-01-20;80
523;2020-01-02;2020-01-27;93
524;2020-01-01;2020-01-29;34
525;2020-01-05;2020-02-04;92
526;2020-01-01;2020-01-15;129
527;2020-01-02;2020-01-09;21
528;2020-01-01;2020-01-28;131
529;2020-01-06;2020-02-02;32
530;2020-01-04;2020-02-03;18
531;2020-01-03;2020-01-16;64
532;2020-01-06;2020-01-10;171
533;2020-01-04;2020-01-18;102
534;2020-01-05;2020-01-22;110
535;2020-01-06;2020-01-21;97
536;2020-01-05;2020-01-22;50
537;2020-01-06;2020-01-18;116
538;2020-01-06;2020-01-18;12
539;2020-01-05;2020-01-14;6
540;2020-01-01;2020-01-27;118
541;2020-01-01;2020-01-22;121
542;2020-01-05;2020-02-01;5
543;2020-01-02;2020-01-26;30
544;2020-01-01;2020-01-20;15
545;2020-01-02;2020-01-31;169
546;2020-01-02;2020-01-09;123
547;2020-01-05;2020-01-28;12
548;2020-01-03;2020-01-26;38
549;2020-01-06;2020-01-11;57
550;2020-01-03;2020-01-22;2
551;2020-01-03;2020-01-17;107
552;2020-01-02;2020-01-05;7
553;2020-01-01;2020-01-30;7
554;2020-01-06;2020-02-04;29
555;2020-01-02;2020-01-10;100
556;2020-01-01;2020-01-06;44
557;2020-01-02;2020-01-29;135
558;2020-01-02;2020-01-11;84
559;2020-01-05;2020-02-04;197
560;2020-01-02;2020-01-31;30
561;2020-01-06;2020-01-28;108
562;2020-01-04;2020-01-14;64
563;2020-01-01;2020-01-26;21
564;2020-01-04;2020-02-02;32
565;2020-01-04;2020-01-14;88
566;2020-01-05;2020-02-01;195
567;2020-01-06;2020-02-02;140
568;2020-01-06;2020-01-28;90
569;2020-01-01;2020-01-28;111
570;2020-01-01;2020-01-18;130
571;2020-01-05;2020-01-29;29
572;2020-01-03;2020-01-24;85
573;2020-01-05;2020-02-02;93
574;2020-01-04;2020-01-10;31
575;2020-01-03;2020-01-06;91
576;2020-01-02;2020-01-20;193
577;2020-01-03;2020-01-06;189
578;2020-01-04;2020-01-15;76
579;2020-01-02;2020-01-30;95
580;2020-01-02;2020-01-28;179
581;2020-01-05;2020-01-28;40
582;2020-01-01;2020-01-25;5
583;2020-01-01;2020-01-11;23
584;2020-01-05;2020-01-10;166
585;2020-01-05;2020-01-29;193
586;2020-01-05;2020-01-23;126
587;2020-01-01;2020-01-18;81
588;2020-01-03;2020-01-14;134
589;2020-01-04;2020-01-29;100
590;2020-01-01;2020-01-15;64
591;2020-01-06;2020-01-15;65
592;2020-01-06;2020-01-27;67
593;2020-01-05;2020-01-17;7
594;2020-01-04;2020-01-24;191
595;2020-01-03;2020-01-18;16
596;2020-01-03;2020-01-23;184
597;2020-01-06;2020-01-21;83
598;2020-01-04;2020-02-01;150
599;2020-01-04;2020-01-24;12
600;2020-01-03;2020-01-10;177
601;2020-01-05;2020-02-02;48
602;2020-01-03;2020-01-13;74
603;2020-01-01;2020-01-25;189
604;2020-01-02;2020-01-20;188
605;2020-01-01;2020-01-27;8
606;2020-01-04;2020-01-21;137
607;2020-01-05;2020-01-20;119
608;2020-01-03;2020-01-26;155
609;2020-01-03;2020-01-10;61
610;2020-01-01;2020-01-06;71
611;2020-01-04;2020-02-01;114
612;2020-01-06;2020-01-30;93
613;2020-01-05;2020-02-02;123
614;2020-01-01;2020-01-27;95
615;2020-01-03;2020-01-11;166
616;2020-01-05;2020-01-19;23
617;2020-01-02;2020-02-01;148
618;2020-01-06;2020-01-21;148
619;2020-01-05;2020-01-13;168
620;2020-01-01;2020-01-04;161
621;2020-01-02;2020-01-19;76
622;2020-01-02;2020-01-07;106
623;2020-01-02;2020-01-10;179
624;2020-01-02;2020-01-07;193
625;2020-01-04;2020-01-11;99
626;2020-01-01;2020-01-17;46
627;2020-01-03;2020-01-10;21
628;2020-01-01;2020-01-11;22
629;2020-01-02;2020-01-13;68
630;2020-01-03;2020-01-13;134
631;2020-01-02;2020-01-15;46
632;2020-01-04;2020-01-27;134
633;2020-01-04;2020-01-15;103
634;2020-01-06;2020-01-14;167
635;2020-01-06;2020-01-18;67
636;2020-01-03;2020-02-02;163
637;2020-01-01;2020-01-27;79
638;2020-01-05;2020-01-21;139
639;2020-01-04;2020-01-26;124
640;2020-01-04;2020-01-07;169
641;2020-01-02;2020-01-31;8
642;2020-01-06;2020-01-17;86
643;2020-01-01;2020-01-06;176
644;2020-01-02;2020-01-11;125
645;2020-01-05;2020-01-24;99
646;2020-01-03;2020-01-16;133
647;2020-01-02;2020-02-01;85
648;2020-01-02;2020-01-07;17
649;2020-01-04;2020-01-22;165
650;2020-01-06;2020-01-29;120
651;2020-01-02;2020-01-21;111
652;2020-01-06;2020-01-09;139
653;2020-01-03;2020-01-25;125
654;2020-01-03;2020-01-19;196
655;2020-01-04;2020-01-24;195
656;2020-01-01;2020-01-11;192
657;2020-01-06;2020-01-22;14
658;2020-01-01;2020-01-09;80
659;2020-01-01;2020-01-19;79
660;2020-01-06;2020-01-22;108
661;2020-01-01;2020-01-29;108
662;2020-01-01;2020-01-24;199
663;2020-01-06;2020-01-29;126
664;2020-01-04;2020-01-27;120
665;2020-01-06;2020-01-13;192
666;2020-01-02;2020-01-14;64
667;2020-01-03;2020-01-22;167
668;2020-01-04;2020-01-28;116
669;2020-01-04;2020-01-30;200
670;2020-01-03;2020-01-08;154
671;2020-01-04;2020-01-26;7
672;2020-01-06;2020-01-21;133
673;2020-01-03;2020-01-09;28
674;2020-01-02;2020-01-07;74
675;2020-01-04;2020-01-24;169
676;2020-01-05;2020-01-17;199
677;2020-01-01;2020-01-24;7
678;2020-01-01;2020-01-06;28
679;2020-01-02;2020-01-05;12
680;2020-01-05;2020-01-25;41
681;2020-01-02;2020-01-30;162
682;2020-01-04;2020-01-11;161
683;2020-01-01;2020-01-20;186
684;2020-01-06;2020-01-09;20
685;2020-01-05;2020-02-02;30
686;2020-01-03;2020-01-16;90
687;2020-01-03;2020-01-23;90
688;2020-01-06;2020-01-20;10
689;2020-01-01;2020-01-26;136
690;2020-01-01;2020-01-31;41
691;2020-01-06;2020-01-26;124
692;2020-01-04;2020-01-11;114
693;2020-01-05;2020-01-31;134
694;2020-01-03;2020-02-02;82
695;2020-01-04;2020-01-29;86
696;2020-01-06;2020-01-31;8
697;2020-01-04;2020-01-17;27
698;2020-01-05;2020-01-22;100
699;2020-01-03;2020-01-17;191
700;2020-01-03;2020-02-01;90
701;2020-01-06;2020-01-31;138
702;2020-01-03;2020-01-25;182
703;2020-01-03;2020-01-18;51
704;2020-01-01;2020-01-27;27
705;2020-01-06;2020-01-31;129
706;2020-01-01;2020-01-08;181
707;2020-01-06;2020-02-05;193
708;2020-01-03;2020-01-20;94
709;2020-01-06;2020-01-28;34
710;2020-01-06;2020-01-25;114
711;2020-01-04;2020-01-11;105
712;2020-01-01;2020-01-21;47
713;2020-01-04;2020-01-21;43
714;2020-01-02;2020-01-22;176
715;2020-01-02;2020-01-28;10
716;2020-01-05;2020-01-13;183
717;2020-01-06;2020-01-14;107
718;2020-01-01;2020-01-14;9
719;2020-01-04;2020-01-12;141
720;2020-01-02;2020-01-17;39
721;2020-01-01;2020-01-18;47
722;2020-01-05;2020-01-10;124
723;2020-01-01;2020-01-11;59
724;2020-01-02;2020-01-18;81
725;2020-01-01;2020-01-14;124
726;2020-01-04;2020-01-15;101
727;2020-01-04;2020-01-09;51
728;2020-01-02;2020-01-26;101
729;2020-01-03;2020-01-29;101
730;2020-01-06;2020-01-30;42
731;2020-01-06;2020-01-24;140
732;2020-01-03;2020-01-08;48
733;2020-01-01;2020-01-05;192
734;2020-01-04;2020-01-12;135
735;2020-01-02;2020-01-05;36
736;2020-01-05;2020-01-29;40
737;2020-01-02;2020-01-22;26
738;2020-01-05;2020-01-22;158
739;2020-01-04;2020-02-01;14
740;2020-01-04;2020-01-14;18
741;2020-01-03;2020-01-20;92
742;2020-01-03;2020-01-07;39
743;2020-01-05;2020-01-23;65
744;2020-01-01;2020-01-18;37
745;2020-01-01;2020-01-22;28
746;2020-01-04;2020-01-10;57
747;2020-01-02;2020-01-17;80
748;2020-01-03;2020-01-13;133
749;2020-01-03;2020-01-25;165
750;2020-01-06;2020-01-14;70
751;2020-01-06;2020-02-03;20
752;2020-01-04;2020-01-08;81
753;2020-01-03;2020-01-16;17
754;2020-01-06;2020-01-21;124
755;2020-01-04;2020-02-01;138
756;2020-01-02;2020-01-30;77
757;2020-01-06;2020-02-02;16
758;2020-01-05;2020-01-24;44
759;2020-01-01;2020-01-19;158
760;2020-01-01;2020-01-23;2
761;2020-01-05;2020-01-16;60
762;2020-01-03;2020-01-17;15
763;2020-01-03;2020-02-01;118
764;2020-01-04;2020-01-17;121
765;2020-01-03;2020-02-01;188
766;2020-01-03;2020-01-25;176
767;2020-01-04;2020-01-23;138
768;2020-01-05;2020-01-19;190
769;2020-01-06;2020-01-25;175
770;2020-01-04;2020-01-11;174
771;2020-01-02;2020-01-14;62
772;2020-01-02;2020-01-13;49
773;2020-01-06;2020-01-15;178
774;2020-01-02;2020-01-26;89
775;2020-01-02;2020-01-14;172
