id,income,expenses,advertisementExpenses,date
43,448026.97,75126.44,29205.82,2020-01-13
44,778277.42,158054.3,16822.95,2020-06-18
45,413512.51,8196.33,17282.28,2020-06-26
46,747418.61,131586.49,18353.17,2020-01-13
47,511682.52,153241.65,39988.96,2020-05-31
48,398222.67,21511.88,1774.12,2020-01-28
49,675979.78,88940.14,12139.14,2020-06-05
50,711457.34,12106.51,15953.3,2020-05-23
51,190809.71,155752.04,22329.35,2020-01-01
52,753682.27,72538.39,5708.24,2020-03-10
53,493221.16,9086.16,43637.07,2020-01-04
54,711820.41,92828.41,14978.65,2020-01-16
55,189622.55,143358.21,26350.11,2020-06-27
56,873241.13,138457.75,32142.18,2020-05-09
57,310730.54,104880.83,3397.96,2020-06-27
58,212012.66,53838.83,19577.51,2020-04-28
59,63446.66,122279.64,7795.77,2020-06-25
60,101982.2,196981.06,46979.68,2020-03-24
61,602839.0,117007.81,22795.34,2020-03-05
62,994761.81,89176.11,23175.87,2020-02-02
63,141458.51,146350.91,4155.19,2020-06-01
64,882589.9,3537.88,41084.67,2020-03-06
65,955131.2,83863.15,12778.58,2020-01-15
66,979211.43,64431.04,18459.14,2020-01-24
67,171049.65,168833.73,19107.24,2020-06-16
68,733121.36,9706.47,21772.46,2020-01-02
69,777839.92,138773.32,40984.76,2020-05-03
70,551572.0,106203.43,18704.85,2020-01-31
71,189469.0,187007.54,29242.27,2020-04-12
72,210960.27,147063.92,19224.7,2020-01-08
73,69780.16,96707.95,27155.74,2020-03-11
74,464001.21,26268.27,49342.4,2020-05-26
75,384889.7,149696.74,4135.55,2020-01-29
76,876189.28,174026.82,25380.46,2020-04-11
77,142382.25,76961.16,47247.71,2020-03-03
78,364359.21,106345.26,42661.96,2020-01-29
79,777600.0,19689.35,13650.73,2020-02-27
80,191078.07,135596.23,9679.49,2020-03-24
81,730403.57,48101.95,9566.93,2020-06-24
82,213610.9,6256.83,43002.63,2020-03-12
83,36851.33,143012.33,37235.18,2020-02-05
84,218158.47,5866.52,8930.8,2020-05-29
85,310964.64,110822.04,27660.49,2020-02-09
86,85138.65,30743.53,49482.03,2020-06-20
87,444846.93,4859.66,41369.12,2020-06-12
88,498757.81,144222.64,48615.55,2020-04-18
89,838334.76,142277.21,4789.65,2020-03-11
90,895901.75,95608.84,22520.54,2020-02-14
91,725256.84,48013.8,5576.32,2020-02-03
92,910553.34,47411.41,5912.68,2020-02-10
93,507658.11,183811.92,35676.58,2020-04-15
94,777323.72,28485.6,39108.69,2020-06-21
95,98226.05,1783.76,16003.51,2020-01-08
96,282829.65,37436.87,34788.74,2020-01-01
97,675629.0,123311.78,11350.43,2020-03-05
98,397985.54,106211.91,4383.68,2020-03-20
99,94733.1,196565.3,23970.58,2020-05-13
100,126787.37,28709.1,8943.98,2020-01-16
101,514912.11,55842.05,31548.3,2020-03-23
102,804815.74,103606.54,48118.05,2020-06-17
103,56783.43,99170.39,1620.37,2020-03-18
104,701739.62,79661.58,15144.68,2020-06-27
105,808671.03,67429.22,43634.17,2020-02-11
106,264386.68,127440.56,3989.0,2020-01-19
107,903668.62,6473.61,40690.98,2020-02-07
108,184588.37,96639.94,33367.17,2020-03-30
109,288656.35,31800.23,25585.88,2020-02-02
110,312401.48,197904.95,31898.23,2020-02-19
111,193940.68,18548.62,13431.96,2020-05-07
112,313010.51,126007.69,43890.68,2020-06-21
113,241032.23,138982.7,41197.03,2020-06-22
114,255247.19,86884.99,40252.51,2020-04-22
115,918711.12,18982.75,6037.68,2020-04-30
116,326679.28,115501.79,10832.32,2020-03-06
117,360795.22,10421.09,1629.0,2020-03-22
118,486550.32,126703.28,9390.86,2020-04-07
119,278876.1,147398.19,28892.48,2020-03-15
120,42708.93,34757.87,36005.3,2020-05-30
121,680300.56,166688.18,31766.13,2020-06-18
122,928797.86,49267.39,13038.69,2020-03-21
123,22863.37,42061.68,10077.44,2020-06-18
124,509136.69,41746.82,12463.54,2020-03-16
125,87224.08,79676.42,23364.42,2020-06-04
126,625943.33,87622.55,12367.41,2020-04-21
127,100207.06,166738.24,24936.4,2020-02-12
128,968705.46,83673.57,39369.61,2020-01-08
129,552058.67,126125.8,27472.93,2020-02-11
130,503369.34,76458.96,829.69,2020-01-24
131,605249.36,106115.02,176.13,2020-02-18
132,693942.84,104309.13,32041.8,2020-06-02
133,236572.27,144521.87,8512.41,2020-04-24
134,356542.28,137984.75,35788.37,2020-04-03
135,252588.04,8149.08,16728.98,2020-05-06
136,948321.75,130536.46,22078.23,2020-06-29
137,242595.37,142792.8,23618.0,2020-03-22
138,791465.1,105749.9,24382.17,2020-06-05
139,877675.24,159010.79,14880.41,2020-04-05
140,208999.16,78997.3,47429.61,2020-02-24
141,674037.76,147251.31,30110.65,2020-06-10
142,410810.63,58137.55,25580.37,2020-06-18
143,430049.83,182564.46,26460.35,2020-06-18
144,557949.58,193007.09,47045.01,2020-05-09
145,751012.43,109153.53,11412.34,2020-05-13
146,225379.96,132020.46,27703.08,2020-05-16
147,805145.68,66696.16,27408.94,2020-02-26
148,955489.28,59866.7,32842.48,2020-04-26
149,244093.03,166968.27,14693.06,2020-01-04
150,586213.94,45999.92,2708.13,2020-03-01
151,588942.78,178462.29,40362.44,2020-06-29
152,99697.15,7981.98,30150.59,2020-01-29
153,453023.16,27471.8,25566.06,2020-04-23
154,301656.1,151082.9,25203.19,2020-02-02
155,708741.55,86851.81,10474.03,2020-02-14
156,393872.39,71582.7,49326.73,2020-04-22
157,548983.73,166880.33,6744.83,2020-01-01
158,561962.3,183984.99,23421.72,2020-03-13
159,342947.46,143406.66,9720.54,2020-05-12
160,142964.0,173934.01,32475.3,2020-03-21
161,807953.81,61763.94,5053.36,2020-02-23
162,293968.74,108656.28,32221.01,2020-02-03
163,553731.05,25428.52,91.75,2020-06-05
164,122102.46,131312.78,20121.2,2020-06-19
165,672591.82,186841.8,32341.92,2020-05-31
166,52163.98,68961.12,37218.41,2020-02-27
167,45174.7,133746.37,29889.47,2020-06-08
168,62627.35,124368.6,32725.09,2020-04-07
169,226703.56,155474.94,20087.76,2020-06-21
170,175436.25,88266.53,19590.57,2020-05-03
171,406641.78,46882.97,16453.42,2020-03-29
172,535925.0,151349.69,40429.29,2020-05-19
173,143354.4,15159.62,32250.28,2020-01-05
174,762654.99,109597.39,43679.27,2020-06-09
175,693567.78,128024.13,45451.04,2020-03-19
176,238595.67,55652.39,22451.79,2020-01-17
177,215159.63,83359.35,31944.76,2020-05-27
178,698114.4,195668.0,12261.26,2020-04-12
179,890185.39,108750.99,15548.54,2020-05-04
180,321942.97,97094.47,24125.93,2020-05-26
181,720085.51,44490.43,47748.66,2020-02-26
182,515411.77,1745.95,10283.55,2020-03-30
183,292512.82,130813.33,32759.97,2020-03-31
184,981128.44,168446.81,7952.95,2020-03-03
185,831634.48,159461.08,2793.66,2020-05-06
186,746793.0,34670.85,7633.76,2020-02-01
187,853257.19,22292.84,2507.25,2020-01-15
188,880227.66,17581.69,38830.78,2020-03-09
189,404295.85,26527.08,45867.75,2020-04-04
190,101687.6,140642.41,36955.24,2020-04-30
191,394594.49,92371.55,1137.6,2020-01-08
192,122791.94,104940.31,5145.73,2020-02-04
193,119301.32,170850.86,24761.71,2020-01-18
194,148337.36,19908.9,22308.41,2020-01-02
195,366990.39,100625.94,16578.05,2020-03-10
196,951456.27,10620.96,17961.83,2020-02-23
197,617833.49,109453.69,17034.01,2020-03-25
198,60263.21,157007.6,37703.16,2020-05-23
199,524682.2,129112.13,19405.94,2020-04-27
200,626219.4,150888.99,12074.08,2020-04-24
